"id";"titulo";"id_categoria";"id_genero";"resumen";"temporadas";"trailer";"duracion"
1;"The Mandalorian";1;3;"Ambientada tras la caída del Imperio y antes de la aparición de la Primera Orden, la Serie sigue los pasos de un pistolero solitario en las aventuras que protagoniza en los confines de la galaxia, donde no alcanza la autoridad de la Nueva República.";2;"https://www.youtube.com/embed/aOC8E8z_ifw";0
2;"The Umbrella Academy";1;3;"La muerte de su padre reúne a unos hermanos distanciados y con extraordinarios poderes que descubren impactantes secretos y una amenaza que se cierne sobre la humanidad.";1;"https://www.youtube.com/embed/KHucKOK-Vik";0
3;"Gambito de Dama";1;1;"En los cincuenta, una joven de un orfanato descubre que tiene un increíble don para el ajedrez y recorre el arduo camino a la fama mientras lucha contra las adicciones.";1;"https://www.youtube.com/embed/lbleRbyGKL4";0
4;"Riverdale";1;1;"El paso a la edad adulta incluye sexo, romance, escuela y familia. Para Archie y sus amigos, también hay misterios oscuros.";5;"https://www.youtube.com/embed/HxtLlByaYTc";0
5;"The Crown";1;5;"Este drama narra las rivalidades políticas y el romance de la reina Isabel II, así como los sucesos que moldearon la segunda mitad del siglo XX.";4;"https://www.youtube.com/embed/JWtnJjn6ng0";0
6;"Enola Holmes";2;1;"La hermana menor de Sherlock, descubre que su madre ha desaparecido y se dispone a encontrarla. En su búsqueda, saca a relucir el sabueso que corre por sus venas y se encuentra con una conspiración que gira en torno a un misterioso lord, demostrando que su ilustre hermano no es el único talento en la familia.";0;"https://www.youtube.com/embed/3t1g2pa355k";97
7;"Guasón";2;6;"Arthur Fleck (Phoenix) es un hombre ignorado por la sociedad, cuya motivación en la vida es hacer reír. Pero una Serie de trágicos acontecimientos le llevarán a ver el mundo de otra forma. Película basada en el popular personaje de DC Comics Joker, conocido como archivillano de Batman, pero que en este film tomará un cariz más realista y oscuro.";0;"https://www.youtube.com/embed/zAGVQLHvwOY";97
8;"Avengers: End Game";2;3;"Después de los devastadores eventos de los Vengadores: Infinity War (2018), el universo está en ruinas. Con la ayuda de los aliados restantes, los Vengadores se reúnen una vez más para revertir las acciones de Thanos y restaurar el equilibrio del universo.";0;"https://www.youtube.com/embed/TcMBFSGVi1c";97
9;"Juego de tronos";1;7;"En un mundo fantástico y en un contexto medieval varias familias, relativas a la nobleza, se disputan el poder para dominar el territorio ficticio de Poniente (Westeros) y tomar el control de los Siete Reinos desde el Trono de Hierro, lugar donde el rey ejerce el poder.";8;"https://www.youtube.com/embed/KPLWWIOCOOQ";0
10;"The Flash";1;3;"Sigue las veloces aventuras de Barry Allen, un joven común y corriente con el deseo latente de ayudar a los demás. Cuando una inesperada partícula aceleradora golpea por accidente a Barry, de pronto se encuentra cargado de un increíble poder para moverse a increíbles velocidades. Mientras Barry siempre ha tenido el alma de un héroe, sus nuevos poderes le han dado la capacidad de actuar como tal.";6;"https://www.youtube.com/embed/Yj0l7iGKh8g";0
11;"Liga de la Justicia - Zack Snyder";2;9;"Decidido a asegurarse de que el sacrificio final de Superman no fue en vano, Bruce Wayne alinea fuerzas con Diana Prince con planes para reclutar un equipo de metahumanos para proteger al mundo de una amenaza de proporciones catastróficas que se aproxima. En esta fascinante entrega, no apta para niños, verás cómo se conforma la Liga de la Justicia, uniendo a los principales superhéroes conocidos como Metahumanos.";0;"https://www.youtube.com/embed/BUb_-RxsoBs";242
